The 287 round: 477 buy tx | 522 sell tx | 299 unfinished tx.
The 288 round: 510 buy tx | 485 sell tx | 304 unfinished tx.
The 289 round: 513 buy tx | 482 sell tx | 309 unfinished tx.
The 290 round: 498 buy tx | 496 sell tx | 315 unfinished tx.
The 291 round: 497 buy tx | 489 sell tx | 329 unfinished tx.
The 292 round: 507 buy tx | 500 sell tx | 322 unfinished tx.
The 293 round: 469 buy tx | 519 sell tx | 334 unfinished tx.
The 294 round: 524 buy tx | 492 sell tx | 318 unfinished tx.
The 295 round: 493 buy tx | 491 sell tx | 334 unfinished tx.
The 296 round: 497 buy tx | 505 sell tx | 332 unfinished tx.
The 297 round: 493 buy tx | 503 sell tx | 336 unfinished tx.
The 298 round: 499 buy tx | 481 sell tx | 356 unfinished tx.
The 299 round: 487 buy tx | 541 sell tx | 328 unfinished tx.
The 300 round: 515 buy tx | 497 sell tx | 316 unfinished tx.
The 301 round: 533 buy tx | 465 sell tx | 318 unfinished tx.
The 302 round: 487 buy tx | 518 sell tx | 313 unfinished tx.
The 303 round: 495 buy tx | 509 sell tx | 309 unfinished tx.
The 304 round: 480 buy tx | 515 sell tx | 314 unfinished tx.
The 305 round: 503 buy tx | 500 sell tx | 311 unfinished tx.
The 306 round: 496 buy tx | 509 sell tx | 306 unfinished tx.
The 307 round: 498 buy tx | 497 sell tx | 311 unfinished tx.
The 308 round: 478 buy tx | 508 sell tx | 325 unfinished tx.
The 309 round: 496 buy tx | 496 sell tx | 333 unfinished tx.
The 310 round: 511 buy tx | 482 sell tx | 340 unfinished tx.
The 311 round: 509 buy tx | 495 sell tx | 336 unfinished tx.
The 312 round: 516 buy tx | 484 sell tx | 336 unfinished tx.
The 313 round: 486 buy tx | 504 sell tx | 346 unfinished tx.
The 314 round: 530 buy tx | 491 sell tx | 325 unfinished tx.
The 315 round: 515 buy tx | 479 sell tx | 331 unfinished tx.
The 316 round: 494 buy tx | 494 sell tx | 343 unfinished tx.
The 317 round: 504 buy tx | 493 sell tx | 346 unfinished tx.
The 318 round: 504 buy tx | 501 sell tx | 341 unfinished tx.
The 319 round: 496 buy tx | 508 sell tx | 337 unfinished tx.
The 320 round: 511 buy tx | 492 sell tx | 334 unfinished tx.
The 321 round: 523 buy tx | 474 sell tx | 337 unfinished tx.
The 322 round: 499 buy tx | 513 sell tx | 325 unfinished tx.
The 323 round: 463 buy tx | 537 sell tx | 325 unfinished tx.
The 324 round: 495 buy tx | 496 sell tx | 334 unfinished tx.
The 325 round: 472 buy tx | 515 sell tx | 347 unfinished tx.
The 326 round: 516 buy tx | 504 sell tx | 327 unfinished tx.
The 327 round: 521 buy tx | 474 sell tx | 332 unfinished tx.
The 328 round: 495 buy tx | 514 sell tx | 323 unfinished tx.
The 329 round: 522 buy tx | 491 sell tx | 310 unfinished tx.
The 330 round: 505 buy tx | 493 sell tx | 312 unfinished tx.
The 331 round: 510 buy tx | 486 sell tx | 316 unfinished tx.
The 332 round: 509 buy tx | 497 sell tx | 310 unfinished tx.
The 333 round: 519 buy tx | 480 sell tx | 311 unfinished tx.
The 334 round: 489 buy tx | 507 sell tx | 315 unfinished tx.
The 335 round: 483 buy tx | 516 sell tx | 316 unfinished tx.
The 336 round: 483 buy tx | 516 sell tx | 317 unfinished tx.
The 337 round: 512 buy tx | 480 sell tx | 325 unfinished tx.
The 338 round: 530 buy tx | 468 sell tx | 327 unfinished tx.
The 339 round: 510 buy tx | 505 sell tx | 312 unfinished tx.
The 340 round: 520 buy tx | 481 sell tx | 311 unfinished tx.
The 341 round: 503 buy tx | 503 sell tx | 305 unfinished tx.
The 342 round: 482 buy tx | 504 sell tx | 319 unfinished tx.
The 343 round: 511 buy tx | 493 sell tx | 315 unfinished tx.
The 344 round: 486 buy tx | 511 sell tx | 318 unfinished tx.
The 345 round: 484 buy tx | 512 sell tx | 322 unfinished tx.
The 346 round: 517 buy tx | 492 sell tx | 313 unfinished tx.
The 347 round: 495 buy tx | 471 sell tx | 347 unfinished tx.
The 348 round: 507 buy tx | 493 sell tx | 347 unfinished tx.
The 349 round: 521 buy tx | 499 sell tx | 327 unfinished tx.
The 350 round: 480 buy tx | 514 sell tx | 333 unfinished tx.
The 351 round: 481 buy tx | 521 sell tx | 331 unfinished tx.
The 352 round: 506 buy tx | 492 sell tx | 333 unfinished tx.
The 353 round: 494 buy tx | 505 sell tx | 334 unfinished tx.
The 354 round: 505 buy tx | 492 sell tx | 337 unfinished tx.
The 355 round: 502 buy tx | 506 sell tx | 329 unfinished tx.
The 356 round: 497 buy tx | 507 sell tx | 325 unfinished tx.
The 357 round: 485 buy tx | 508 sell tx | 332 unfinished tx.
The 358 round: 505 buy tx | 499 sell tx | 328 unfinished tx.
The 359 round: 503 buy tx | 496 sell tx | 329 unfinished tx.
The 360 round: 511 buy tx | 488 sell tx | 330 unfinished tx.
The 361 round: 486 buy tx | 516 sell tx | 328 unfinished tx.
The 362 round: 497 buy tx | 500 sell tx | 331 unfinished tx.
The 363 round: 511 buy tx | 488 sell tx | 332 unfinished tx.
The 364 round: 508 buy tx | 491 sell tx | 333 unfinished tx.
The 365 round: 509 buy tx | 482 sell tx | 342 unfinished tx.
The 366 round: 505 buy tx | 493 sell tx | 344 unfinished tx.
The 367 round: 499 buy tx | 504 sell tx | 341 unfinished tx.
The 368 round: 502 buy tx | 505 sell tx | 334 unfinished tx.
The 369 round: 499 buy tx | 514 sell tx | 321 unfinished tx.
The 370 round: 511 buy tx | 506 sell tx | 304 unfinished tx.
The 371 round: 476 buy tx | 499 sell tx | 329 unfinished tx.
The 372 round: 490 buy tx | 513 sell tx | 326 unfinished tx.
The 373 round: 505 buy tx | 483 sell tx | 338 unfinished tx.
The 374 round: 498 buy tx | 504 sell tx | 336 unfinished tx.
The 375 round: 516 buy tx | 494 sell tx | 326 unfinished tx.
The 376 round: 511 buy tx | 490 sell tx | 325 unfinished tx.
The 377 round: 499 buy tx | 493 sell tx | 333 unfinished tx.
The 378 round: 496 buy tx | 507 sell tx | 330 unfinished tx.
The 379 round: 507 buy tx | 501 sell tx | 322 unfinished tx.
The 380 round: 489 buy tx | 514 sell tx | 319 unfinished tx.
The 381 round: 504 buy tx | 498 sell tx | 317 unfinished tx.
The 382 round: 498 buy tx | 505 sell tx | 314 unfinished tx.
The 383 round: 481 buy tx | 507 sell tx | 326 unfinished tx.
The 384 round: 475 buy tx | 526 sell tx | 325 unfinished tx.
The 385 round: 514 buy tx | 494 sell tx | 317 unfinished tx.
The 386 round: 497 buy tx | 503 sell tx | 317 unfinished tx.
The 387 round: 477 buy tx | 522 sell tx | 318 unfinished tx.
The 388 round: 502 buy tx | 483 sell tx | 333 unfinished tx.
The 389 round: 503 buy tx | 502 sell tx | 328 unfinished tx.
The 390 round: 496 buy tx | 509 sell tx | 323 unfinished tx.
The 391 round: 502 buy tx | 493 sell tx | 328 unfinished tx.
The 392 round: 461 buy tx | 526 sell tx | 341 unfinished tx.
The 393 round: 500 buy tx | 517 sell tx | 324 unfinished tx.
The 394 round: 484 buy tx | 519 sell tx | 321 unfinished tx.
The 395 round: 472 buy tx | 525 sell tx | 324 unfinished tx.
The 396 round: 483 buy tx | 507 sell tx | 334 unfinished tx.
The 397 round: 491 buy tx | 514 sell tx | 329 unfinished tx.
The 398 round: 476 buy tx | 524 sell tx | 329 unfinished tx.
The 399 round: 497 buy tx | 522 sell tx | 310 unfinished tx.
The 400 round: 859 buy tx | 1 sell tx | 450 unfinished tx.
The 401 round: 511 buy tx | 539 sell tx | 400 unfinished tx.
The 402 round: 512 buy tx | 466 sell tx | 422 unfinished tx.
The 403 round: 534 buy tx | 466 sell tx | 422 unfinished tx.
The 404 round: 490 buy tx | 490 sell tx | 442 unfinished tx.
The 405 round: 517 buy tx | 478 sell tx | 447 unfinished tx.
The 406 round: 497 buy tx | 510 sell tx | 440 unfinished tx.
The 407 round: 503 buy tx | 493 sell tx | 444 unfinished tx.
The 408 round: 527 buy tx | 482 sell tx | 435 unfinished tx.
The 409 round: 487 buy tx | 510 sell tx | 438 unfinished tx.
The 410 round: 510 buy tx | 466 sell tx | 462 unfinished tx.
The 411 round: 506 buy tx | 500 sell tx | 456 unfinished tx.
The 412 round: 497 buy tx | 494 sell tx | 465 unfinished tx.
The 413 round: 511 buy tx | 494 sell tx | 460 unfinished tx.
The 414 round: 495 buy tx | 504 sell tx | 461 unfinished tx.
The 415 round: 511 buy tx | 480 sell tx | 470 unfinished tx.
The 416 round: 519 buy tx | 482 sell tx | 469 unfinished tx.
The 417 round: 487 buy tx | 501 sell tx | 481 unfinished tx.
The 418 round: 495 buy tx | 509 sell tx | 477 unfinished tx.
The 419 round: 508 buy tx | 477 sell tx | 492 unfinished tx.
The 420 round: 479 buy tx | 497 sell tx | 516 unfinished tx.
The 421 round: 513 buy tx | 491 sell tx | 512 unfinished tx.
The 422 round: 500 buy tx | 505 sell tx | 507 unfinished tx.
The 423 round: 501 buy tx | 500 sell tx | 506 unfinished tx.
